title,abs_journal,status
Convective stability analysis of massive neutron stars formed in binary mergers,arXiv e-prints,success
A Spectroscopically Calibrated Prescription for Extracting PAH Flux from JWST MIRI Imaging,The Astrophysical Journal,success
Modeling submillimeter galaxies in cosmological simulations: Contribution to the cosmic star formation density and predictions for future surveys,Astronomy and Astrophysics,success
Three-dimensional Structure of Incomplete Carbon-Oxygen Detonations in Type Ia Supernovae,The Astrophysical Journal,success
Interpretability of deep-learning methods applied to large-scale structure surveys,arXiv e-prints,success
"Star Formation Rates, Metallicities, and Stellar Masses on kpc-scales in TNG50",The Astrophysical Journal,success
CRexit: how different cosmic ray transport modes affect thermal instability in the circumgalactic medium,Astronomy and Astrophysics,success
"Mapping Galaxy Images Across Ultraviolet, Visible and Infrared Bands Using Generative Deep Learning",The Astrophysical Journal,success
SPOCK 2.0: Update to the FeatureClassifier in the Stability of Planetary Orbital Configurations Klassifier,Research Notes of the American Astronomical Society,success
Global Heliospheric Termination Shock Strength in the Solar-Interstellar Interaction,Nature Astronomy,success
Evolution of neutron stars in wide eccentric low-mass binary systems,New Astronomy,success
"Identification of 30,000 White Dwarf-Main Sequence binaries candidates from Gaia DR3 BP/RP(XP) low-resolution spectra",The Astrophysical Journal Supplement Series,success
Revealing two orthogonally polarized spectral components in Vela X-1 with IXPE,Astronomy and Astrophysics,success
"Supernovae Ia, high-redshift probes, and the Hubble tension: current status and future perspectives",arXiv e-prints,success
Ion Beam Instabilities during Solar Flare Energy Release,Physics of Plasmas,success
Mass of particles released by comet 12P/Pons-Brooks during 2023-2024 outbursts,Monthly Notices of the Royal Astronomical Society,success
Euclid preparation. 3-dimensional galaxy clustering in configuration space. Part I. 2-point correlation function estimation,Astronomy and Astrophysics,success
Star-Forming vs. Quenched Galaxies in Voids: Insights into the Role of Mergers,arXiv e-prints,success
AMPEL workflows for LSST: Modular and reproducible real-time photometric classification,Astronomy and Astrophysics,success
Will nanodust reappear in STEREO/WAVES data?,Research Notes of the American Astronomical Society,success
E-INSPIRE -- I. Bridging the gap with the local Universe: Stellar population of a statistical sample of ultra-compact massive galaxies at $z<0.3$,Monthly Notices of the Royal Astronomical Society,success
archNEMESIS: an open-source Python package for analysis of planetary atmospheric spectra,arXiv e-prints,success
Time-Integrated Southern-Sky Neutrino Source Searches with 10 Years of IceCube Starting-Track Events at Energies Down to 1 TeV,arXiv e-prints,success
Temporarily quiescent galaxies at cosmic dawn: probing bursty star formation,The Astrophysical Journal,success
Early r-process Enrichment and Hierarchical Assembly Across the Sagittarius Dwarf Galaxy,The Astronomical Journal,success
"An absolute mass, precise age, and hints of planetary winds for WASP-121 A and b from a JWST NIRSpec phase curve",The Astronomical Journal,success
Polarization Profiles of Globular Cluster Pulsars from FAST I. 25 Profiles from Previously Known Pulsars,arXiv e-prints,success
Cloudy-Maraston: Integrating nebular continuum and line emission with the Maraston stellar population synthesis models,Monthly Notices of the Royal Astronomical Society,success
Multi-Wavelength Analysis of AT 2023sva: a Luminous Orphan Afterglow With Evidence for a Structured Jet,Monthly Notices of the Royal Astronomical Society,success
A novel experimental approach to uncover the nature of cosmic-ray Deuterium,Physical Review D,success
Impact of accretion-induced chemically homogeneous evolution on stellar and compact binary populations,Astronomy and Astrophysics,success
From proto-neutron star dynamo to low-field magnetars,Nature Astronomy,success
Vertical structure and kinematics of the LMC disc from SDSS/Gaia,Astronomy and Astrophysics,success
Dwarf Galaxy Integral-field Survey (DGIS): survey overview and the result of global mass-metallicity relation,arXiv e-prints,success
"Streams, Shells, and Substructures in the Accretion-Built Stellar Halo of NGC 300",The Astrophysical Journal,success
Effects of galactic environment on size and dark matter content in low-mass galaxies,The Astrophysical Journal,success
Galaxy cluster characterization with machine learning techniques,The Astrophysical Journal,success
Gravitational physics in the context of Indian astronomy: A vision document,Journal of Astrophysics and Astronomy,success
Research on the Interstellar Medium and Star Formation in the Galaxy: An Indian Perspective,Journal of Astrophysics and Astronomy,success
Revisiting the Classics: On the Statistics of Dust Formation in Novae,Monthly Notices of the Royal Astronomical Society,success
LAMOST J101356.33+272410.7: A Detached White Dwarf-Main-sequence Binary with a Massive White Dwarf Within the Period Gap,The Astrophysical Journal,success
SpecPT (Spectroscopy Pre-trained Transformer) Model for Extragalactic Spectroscopy: I. Architecture and Automated Redshift Measurement,The Astrophysical Journal,success
A Link Between White Dwarf Pulsars and Polars: Multiwavelength Observations of the 9.36-Minute Period Variable Gaia22ayj,Publications of the Astronomical Society of the Pacific,success
Non-evolutionary effects on period change in Magellanic Cepheids,Contributions of the Astronomical Observatory Skalnate Pleso,success
Gravitational Turbulence: the Small-Scale Limit of the Cold-Dark-Matter Power Spectrum,Physical Review D,success
"TOI-421 b: A Hot Sub-Neptune with a Haze-Free, Low Mean Molecular Weight Atmosphere",The Astrophysical Journal,success
Autoencoder Reconstruction of Cosmological Microlensing Magnification Maps,The Astrophysical Journal,success
A metamaterial telescope at millimetre wavelengths,arXiv e-prints,success
Detection of H2O and CO2 in the Atmosphere of the Hot Super-Neptune WASP-166b with JWST,The Astronomical Journal,success
The Giant Radio Array for Neutrino Detection (GRAND) and its prototype phases,arXiv e-prints,success
The quest for a stable disk,The Astrophysical Journal,success
IRIS: A Bayesian Approach for Image Reconstruction in Radio Interferometry with expressive Score-Based priors,arXiv e-prints,success
Searches for primary photons and neutrinos with the Pierre Auger Observatory,arXiv e-prints,success
Multi-wavelength observations of a jet launch in real time from the post-changing-look Active Galaxy 1ES 1927+654,The Astrophysical Journal,success
Revisiting the Group-Dominant Elliptical NGC 5044 in the Radio Band: Continuum Emission and Detection of HI Absorption,The Astrophysical Journal,success
"The SLACS strong lens sample, debiased. II. Lensing-only constraints on the stellar IMF and dark matter contraction in early-type galaxies",Astronomy and Astrophysics,success
Spin-period variations in the intermediate polar RX J2133.7+5107,Monthly Notices of the Royal Astronomical Society,success
Towards a self-consistent hydrodynamical model of the solar tachocline,The Astrophysical Journal,success
Numerical and Physical Challenges to Nebular Spectroscopy in Thermonuclear Supernovae,arXiv e-prints,success
Little impact of mergers and galaxy morphology on the production and escape of ionizing photons in the early Universe,Astronomy and Astrophysics,success
"Global 3-D Simulations of Magnetospheric Accretion: II. Hot Spots, Equilibrium Torque, Episodic Wind, and Midplane Outflow",Monthly Notices of the Royal Astronomical Society,success
The effect of environment on the mass assembly history of the Milky Way and M31,Astronomy and Astrophysics,success
"Discovery of Ancient Globular Cluster Candidates in The Relic, a Quiescent Galaxy at z=2.5",arXiv e-prints,success
Protostellar disc structure and dynamics during star formation from cloud-scale initial conditions,Monthly Notices of the Royal Astronomical Society,success
Cross-correlating the patchy screening and kinetic Sunyaev-Zel'dovich effects as a new probe of reionization,The Astrophysical Journal,success
Searching for Quiescent Galaxies over $3 < z < 6$ in JWST Surveys Using Manifold Learning,arXiv e-prints,success
Genesis of the James Webb Space Telescope Architecture: The Designers' Story,"Journal of Astronomical Telescopes, Instruments, and Systems",success
A Pair of Dynamically Interacting Sub-Neptunes Around TOI-6054,The Astronomical Journal,success
The NEMESIS Catalogue of Young Stellar Objects for the Orion Star Formation Complex. I. General description of data curation,Astronomy and Astrophysics,success
Mind the gaps: improved methods for the detection of periodicities in unevenly-sampled data,Monthly Notices of the Royal Astronomical Society,success
A New Approach for Constraining Large-Scale Temperature Fluctuations in the Intergalactic Medium,arXiv e-prints,success
BASSET: Bandpass-Adaptive Single-pulse SEarch Toolkit -- Optimized Sub-Band Pulse Search Strategies for Faint Narrow-Band FRBs,The Astrophysical Journal Supplement Series,success
Vertical shear instabilities in rotating stellar radiation zones: effects of the full Coriolis acceleration and thermal diffusion,Monthly Notices of the Royal Astronomical Society,success
Discovery of a likely Type II SN at $z$=3.6 with JWST,arXiv e-prints,success
Solar Particle Acceleration,Astronomy,success
BATSRUS GPU: Faster-than-Real-Time Magnetospheric Simulations with a Block-Adaptive Grid Code,The Astrophysical Journal,success
Origin likelihood functions for extreme-energy cosmic rays,arXiv e-prints,success
Continuum Reverberation in Active Galactic Nuclei Disks Only With Sufficient X-ray Luminosity and Low Albedo,The Astrophysical Journal,success
Long-lived Habitable Zones around White Dwarfs undergoing Neon-22 Distillation,arXiv e-prints,success
From Stability to Instability: Characterizing the Eccentricities of Multi-planet Systems in the California Kepler Survey as a Means of Studying Stability,arXiv e-prints,success
Evidence for a sub-jovian planet in the young TWA7 disk,Nature,success
A Critical Examination of the Nested Leaky Box Model for Galactic Cosmic Ray Transport,Physical Review D,success
Unveiling the origin of fast radio bursts by modeling the stellar mass and star formation distributions of their host galaxies,The Astrophysical Journal,success
Are Gas-rich Ultra-diffuse Galaxies and Field Dwarfs Distinct?,The Astrophysical Journal,success
3D Adiabatic Simulations of Binary Black Hole Formation in AGN,Monthly Notices of the Royal Astronomical Society,success
An Increase in the Prevalence of Ionized Outflows in Galaxies with Coronal Line Emission: Feedback in Action?,The Astrophysical Journal,success
A Search for Dark Matter Annihilation in Stellar Streams with the Fermi-LAT,Journal of Cosmology and Astroparticle Physics,success
Effects of localisation precision on identified fast radio burst host galaxy magnitudes,Research Notes of the American Astronomical Society,success
Stochastic description of UHECR interactions,arXiv e-prints,success
Overall Ultra-high Energy Neutrino Emission from GRBs during Jet Expansion,The Astrophysical Journal,success
A Pristine-UNIONS view on the Galaxy: Kinematics of the distant spur feature of the Sagittarius stream traced by Blue Horizontal Branch stars,Astronomy and Astrophysics,success
TDCOSMO XIX: Measuring stellar velocity dispersion with sub-percent accuracy for cosmography,Astronomy and Astrophysics,success
Entropy Evolution Towards DARKexp of IllustrisTNG Dark Matter Halos,Journal of Cosmology and Astroparticle Physics,success
Neutron-capture Element Abundances of 491 Stars in Milky Way Dwarf Satellite Galaxies from Medium-Resolution Spectra,The Astrophysical Journal,success
Bridging Theory and Observations: Insights into Star Formation Efficiency and Dust Attenuation in $z > 5$ Galaxies,Monthly Notices of the Royal Astronomical Society,success
Selection Function of Clusters in Dark Energy Survey Year 3 Data from Cross-Matching with South Pole Telescope Detections,Astronomy and Astrophysics,success
Mutual Validation of Datasets for Analyzing Tilt Angles in Solar Active Regions,The Astrophysical Journal,success
Searching for Low-Mass Exoplanets Amid Stellar Variability with a Fixed Effects Linear Model of Line-by-Line Shape Changes,The Astronomical Journal,success
Spindown of massive main sequence stars in the Milky Way,Astronomy and Astrophysics,success
Using Infrared Dust Echoes to Identify Bright Quasi-periodic Eruption Sources,arXiv e-prints,success
The Ultraviolet Type Ia Supernova CubeSat (UVIa): Science Motivation & Mission Concept,arXiv e-prints,success
Quantifying the Detectability of Milky Way Satellites with Image Simulations: a Case Study with KiDS,Astronomy and Astrophysics,success
Implementing a Robust Test of Galaxy Catalogue Completeness for Dark Siren Measurements of the Hubble Constant,arXiv e-prints,success
The Effect of Vera C. Rubin Observatory Cadence Selections on Kilonova Detectability,Publications of the Astronomical Society of the Pacific,success
NGC 3259: A Signal for an Untapped Population of Slowly Accreting Intermediate-Mass Black Holes,Astronomy and Astrophysics,success
Learning the Universe: physically-motivated priors for dust attenuation curves,The Astrophysical Journal,success
Applying a star formation model calibrated on high-resolution interstellar medium simulations to cosmological simulations of galaxy formation,Monthly Notices of the Royal Astronomical Society,success
Chronology of our Galaxy from Gaia colour-magnitude diagram fitting (ChronoGal) -- III. Age and metallicity distribution of Gaia-Sausage-Enceladus stars near the Sun,arXiv e-prints,success
Full-sky Models of Galactic Microwave Emission and Polarization at Sub-arcminute Scales for the Python Sky Model,The Astrophysical Journal,success
Stochastic lensing of stars by ultralight dark matter halos,arXiv e-prints,success
Quantifying Bias due to non-Gaussian Foregrounds in an Optimal Reconstruction of CMB Lensing and Temperature Power Spectra,Journal of Cosmology and Astroparticle Physics,success
Unveiling Orbital Chaos: The Wild Heart of Fuzzy Dark Matter Structures,Classical and Quantum Gravity,success
Timing and Spectral Evolution of the Magnetar 1E 1841-045 in Outburst,The Astrophysical Journal,success
On Bactrian glitch-size distributions,Monthly Notices of the Royal Astronomical Society,success
Potential Nitrogen Enrichment via Direct-Collapse Wolf-Rayet Stars in a $z=4.7$ Star-Forming Galaxy,arXiv e-prints,success
Context images for Venus Express radio occultation measurements: A search for a correlation between temperature structure and UV contrasts in the clouds of Venus,Astronomy and Astrophysics,success
Discovery and Timing of 49 Pulsars from the Arecibo 327-MHz Drift Survey,arXiv e-prints,success
Relationship between 2D and 3D Galaxy Stellar Mass and Correlations with Halo Mass,Journal of Cosmology and Astroparticle Physics,success
An Alternate Method for Minimizing $χ^2$,Publications of the Astronomical Society of the Pacific,success
"Low-Luminosity Type IIP Supernovae from the Zwicky Transient Facility Census of the Local Universe. I: Luminosity Function, Volumetric Rate",Publications of the Astronomical Society of the Pacific,success
Statistical Analyses of Solar Active Region in SDO/HMI Magnetograms detected by Unsupervised Machine Learning Method DSARD,The Astrophysical Journal Supplement Series,success
Seasonal Variations of the Atmospheric Muon Neutrino Spectrum measured with IceCube,European Physical Journal C,success
A Deep Neural Network Approach to Compact Source Removal,Astronomy and Astrophysics,success
High-velocity outflows in [OIII] emitters at z=2.5-9 from JWST NIRSpec medium-resolution spectroscopy,The Astrophysical Journal,success
Where do High-Velocity Dark Matter Particles come from in the Milky Way?,arXiv e-prints,success
Evidence for Low Universal Equilibrium Black Hole Spin in Luminous Magnetically Arrested Disks,Physical Review D,success
Properties of 'Lite' Intermediate-Mass Black Hole Candidates in LIGO-Virgo's Third Observing Run,The Astrophysical Journal,success
Coronal Abundance Fractionation Linked to Chromospheric Transverse MHD Waves in a Solar Active Region Observed with FISS/GST and EIS/Hinode,Astronomy and Astrophysics,success
The JWST/PASSAGE Survey: Testing Reionization Histories with JWST's First Unbiased Survey for Lyman alpha Emitters at Redshifts 7.5-9.5,The Astrophysical Journal,success
Bias-corrected Fast Radio Bursts Population and Spectra Using CHIME Injection Data,The Astrophysical Journal,success
"Evidence for an Instability-Induced Binary Merger in the Double-Peaked, Helium-Rich Type IIn Supernova 2023zkd",The Astrophysical Journal,success
A Closer Look at an Unusual Ultra-Diffuse Galaxy,The Astrophysical Journal,success
Unevolved Li-rich stars at low metallicity: a possible formation pathway through novae,Astronomy and Astrophysics,success
Radiative Transfer Simulations of Ly$α$ Intensity Mapping During Cosmic Reionization Including Sources from Galaxies and the Intergalactic Medium,Journal of Cosmology and Astroparticle Physics,success
Towards Higher Order Accuracy in Self-Gravitating Hydrodynamics,The Astrophysical Journal Supplement Series,success
Central Velocity Dispersion being the Primary Driver of Abundance Patterns in Quenched Galaxies,The Astrophysical Journal,success
Rates of Strongly Lensed Tidal Disruption Events,Astronomy and Astrophysics,success
Constraints on Ultra-light Axion Dark Matter through Galaxy Cluster Number Counts,arXiv e-prints,success
Pair creation from radial electromagnetic perturbation of a compact astrophysical object,Physical Review D,success
Energy Diffusion and Advection Coefficients in Kinetic Simulations of Relativistic Plasma Turbulence,Monthly Notices of the Royal Astronomical Society,success
DESI Strong Lens Foundry I: HST Observations and Modeling with GIGA-Lens,arXiv e-prints,success
Nuclear Stellar Disk-like Nature in the Kinematics of SiO Maser Stars around Sagittarius A*,Publications of the Astronomical Society of Japan,success
Introducing the Rhea simulations of Milky-Way-like galaxies I: Effect of gravitational potential on morphology and star formation,arXiv e-prints,success
"Ultra High-Redshift or Closer-by, Dust-Obscured Galaxies? Deciphering the Nature of Faint, Previously Missed F200W-Dropouts in CEERS",arXiv e-prints,success
Bar-spiral interaction produces radial migration and star formation bursts,Astronomy and Astrophysics,success
Propagation-induced Frequency-dependent Polarization Properties of Fast Radio Burst,The Astrophysical Journal,success
"Intersecting frontiers for ground and space-based solar missions: symbiotic coordination between DKIST, PSP, and Solar Orbiter",arXiv e-prints,success
JAGB 2.0: Improved Constraints on the J-region Asymptotic Giant Branch-based Hubble Constant from an Expanded Sample of JWST Observations,The Astrophysical Journal,success
A comparison of the turbulent dynamo in weakly-collisional and collisional plasmas: from subsonic to supersonic turbulence,Monthly Notices of the Royal Astronomical Society,success
VODKA: Complex molecular gas dynamics in a kpc-separation z=2.17 dual quasar with ALMA,arXiv e-prints,success
Redefining $Q$ for multi-component discs of stars and gas,arXiv e-prints,success
On the Orbit of the Binary Brown Dwarf Companion GL229 Ba and Bb,The Astronomical Journal,success
Mapping the Filamentary Nebula of NGC 1275 with Multiwavelength SITELLE Observations,The Astronomical Journal,success
On the relationship between the cosmic web and the alignment of galaxies and AGN jets,Monthly Notices of the Royal Astronomical Society,success
Electron-induced CO2 and hydrocarbon sputtering of functionalized hydrocarbons in icy planetary analogs,arXiv e-prints,success
Iron-corrected Single-epoch Black Hole Masses of DESI Quasars at low redshift,The Astrophysical Journal,success
The relationship between galaxy size and halo properties: Insights from the IllustrisTNG simulations and differential clustering,arXiv e-prints,success
The Effects of Kinematic MHD on the Atmospheric Circulation of Eccentric Hot Jupiters,The Astrophysical Journal,success
Nonextensive entropic behavior observed in Quasar 3C 273,arXiv e-prints,success
Million Points of Light (MPoL): a PyTorch library for radio interferometric imaging and inference,arXiv e-prints,success
Characterization of the Teledyne COSMOS Camera: A Large Format CMOS Image Sensor for Astronomy,"Journal of Astronomical Telescopes, Instruments, and Systems",success
The Gravitational Wave Background from Massive Black Holes in the ASTRID Simulation,The Astrophysical Journal,success
TeV Afterglow of BOAT GRB without Jet Break,Monthly Notices of the Royal Astronomical Society,success
Revisiting turbulent properties of solar convection with 3D radiative hydrodynamic modeling,arXiv e-prints,success
First spectro-polarimetric study of the neutron star low-mass X-ray binary GX 9+1,Monthly Notices of the Royal Astronomical Society,success
Self-consistent scenario for jet and stellar explosion in collapsar: General relativistic magnetohydrodynamics simulation with dynamo,Physical Review D,success
Cosmic Shear Nulling as a geometrical cosmological probe: methodology and sensitivity to cosmological parameters and systematics,arXiv e-prints,success
Novel geometrical test of cosmological expansion from photometric data,arXiv e-prints,success
Chaotic Behavior of Trapped Cosmic Rays,The Astrophysical Journal,success
Constraining the major merger history of $z \sim 3-9$ galaxies using JADES: dominant in-situ star formation,Monthly Notices of the Royal Astronomical Society,success
Stars as cosmic scales: measuring stellar mass with microlensed supernovae,Monthly Notices of the Royal Astronomical Society,success
ADF22-WEB: ALMA and JWST (sub)kpc-scale views of dusty star-forming galaxies in a $z\approx$3 proto-cluster,arXiv e-prints,success
JWST sighting of decameter main-belt asteroids and view on meteorite sources,Nature,success
Star-crossed Clusters: Asteroseismic Ages for Individual Stars are in Tension with the Ages of their Host Clusters,The Astrophysical Journal,success
"Density fluctuation-Mach number scaling in compressible, high plasma beta turbulence: in-situ space observations and high-Reynolds number simulations",The Astrophysical Journal,success
Galactic Isolated Stellar-Mass Black Holes with the Magnetospheric Spark Gap as Possible GeV-TeV Gamma-ray Unidentified Sources,The Astrophysical Journal,success
Hydrodynamic Predictions for the Next Outburst of T Coronae Borealis: It will be the Brightest Classical or Recurrent Nova Ever Observed in X-rays,The Astrophysical Journal,success
The JWST EXCELS survey: Probing strong-line diagnostics and the chemical evolution of galaxies over cosmic time using Te-metallicities,Monthly Notices of the Royal Astronomical Society,success
The AURORA Survey: The Evolution of Multi-phase Electron Densities at High Redshift,Monthly Notices of the Royal Astronomical Society,success
"Dissecting the massive pristine, neutral gas reservoir of a remarkably bright galaxy at z = 14.179",The Astrophysical Journal,success
On the long-term evolution of razor-thin galactic discs: Balescu-Lenard prediction and perspectives,Astronomy and Astrophysics,success
GEMS JWST: Transmission spectroscopy of TOI-5205b reveals significant stellar contamination and a metal-poor atmosphere,arXiv e-prints,success
Properties of Turbulent Convection and Large-Scale Flows in a Rotating F-type Star Revealed by 3D Realistic Radiative Hydrodynamic Simulations,The Astrophysical Journal,success
The JWST View of Cygnus A: Jet-Driven Coronal Outflow with a Twist,The Astrophysical Journal,success
Observational Constraints on Cool Gas Clouds in M82's Starburst-Driven Outflow,The Astrophysical Journal,success
ADF22-WEB: Detection of a molecular gas reservoir in a massive quiescent galaxy located in a $z\approx3$ proto-cluster core,The Astrophysical Journal,success
Galaxies in the simulated cosmic web: I. Filament identification and their properties,Astronomy and Astrophysics,success
Constraining Axion Dark Matter with Galactic-Centre Resonant Dynamics,arXiv e-prints,success
Discovering Numerous Interstellar Objects with A Dedicated Space Telescope,arXiv e-prints,success
Discovery of Staircase delta Scuti Variables,arXiv e-prints,success
A Sizable Discrepancy in Ground-Based JAGB Distances to Nearby Galaxies,arXiv e-prints,success
To clean or not to clean? Influence of pixel removal on event reconstruction using deep learning in CTAO,arXiv e-prints,success
A Luminous Red Optical Flare and Hard X-ray Emission in the Tidal Disruption Event AT2024kmq,The Astrophysical Journal,success
The stellar mass composition of galaxy clusters and dependencies on dark matter halo properties,Monthly Notices of the Royal Astronomical Society,success
Proto-neutron star oscillations including accretion flows,Physical Review D,success
"JWST's little red dots: an emerging population of young, low-mass AGN cocooned in dense ionized gas",arXiv e-prints,success
"A ""Black Hole Star"" Reveals the Remarkable Gas-Enshrouded Hearts of the Little Red Dots",arXiv e-prints,success
AREPO-IDORT: Implicit Discrete Ordinates Radiation Transport for Radiation Magnetohydrodynamics on an Unstructured Moving Mesh,arXiv e-prints,success
First Measurements of Black Hole Accretion and Radio-jet Timescales in a Young Quasar at the Edge of Reionization,The Astrophysical Journal,success
"Euclid: Star clusters in IC 342, NGC 2403, and Holmberg II",Astronomy and Astrophysics,success
Slitless Areal Pure-Parallel HIgh-Redshift Emission Survey (SAPPHIRES): Early Data Release of Deep JWST/NIRCam Images and Spectra in MACS J0416 Parallel Field,arXiv e-prints,success
SAPPHIRES: A Galaxy Over-Density in the Heart of Cosmic Reionization at $z=8.47$,arXiv e-prints,success
A Homogeneous Catalog of Oscillating Solar-Type Stars Observed by the Kepler Mission and a New Amplitude Scaling Relation Including Chromospheric Activity,The Astronomical Journal,success
Preparing for Rubin-LSST -- Detecting Brightest Cluster Galaxies with Machine Learning in the LSST DP0.2 simulation,arXiv e-prints,success
Compression fronts from fast radio bursts,arXiv e-prints,success
A stellar dynamical mass measure of an inactive black hole in the distant universe,arXiv e-prints,success
Radio Spectral Energy Distribution of Low-$z$ Metal Poor Extreme Starburst Galaxies: Novel insights on the escape of ionizing photons,arXiv e-prints,success
Thermal Radiation Transport with Tensor Trains,The Astrophysical Journal,success
Early solar wind and dynamo magnetic field topology predictions for (16) Psyche and other asteroids,arXiv e-prints,success
Property of downstream turbulence driven by the special relativistic shock-clump interaction,Monthly Notices of the Royal Astronomical Society,success
The SPT-Deep Cluster Catalog: Sunyaev-Zel'dovich Selected Clusters from Combined SPT-3G and SPTpol Measurements over 100 Square Degrees,arXiv e-prints,success
On the origin of radio polarization in pulsar polar caps,arXiv e-prints,success
High energy time lags of Gamma Ray Bursts,Astronomy and Astrophysics,success
Tidal Amplitudes in the Magellanic Cloud Population of Heartbeat Stars,arXiv e-prints,success
"Galaxy scale consequences of tidal disruption events: extended emission line regions, extreme coronal lines and infrared-to-optical light echoes",Monthly Notices of the Royal Astronomical Society,success
Mapping Dust Attenuation at Kiloparsec Scales. II. Attenuation Curves from Near-Ultraviolet to Near-Infrared,Research in Astronomy and Astrophysics,success
SN 2023ixf in the Pinwheel Galaxy M101: From Shock Breakout to the Nebular Phase,The Astrophysical Journal,success
Discovery of a Giant Molecular Cloud at the Midpoint of the Galactic Bar Dust Lanes: M4.7-0.8,The Astrophysical Journal,success
The Atacama Cosmology Telescope: DR6 Maps,Journal of Cosmology and Astroparticle Physics,success
A new method to retrieve the star formation history from white dwarf luminosity functions -- an application to the Gaia catalogue of nearby stars,arXiv e-prints,success
Detection of millimeter-wave coronal emission in a quasar at cosmological distance using microlensing,Astronomy and Astrophysics,success
Contribution to the Radio Light Curves of a Core-Collapse Supernova due to the Off-axis Gamma-Ray Burst Afterglow,arXiv e-prints,success
