title,ads_bibcode,affiliations,total_citations,non_self_citations,status
A recurrent 70-100 minute quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,2025MNRAS.tmp.2125L,"López-Santiago, J.: Universidad Carlos III de Madrid, Department of Signal Theory and Communications, Avenida de la Universidad 30, 28911 Leganés (Madrid), Spain; Reale, F.: INAF-Osservatorio Astronomico di Palermo, Piazza del Parlamento 1, 90134 Palermo, Italy; Dipartimento di Fisica &amp; Chimica, Universitá di Palermo, Piazza del Parlamento 1, 90134 Palermo, Italy; Micela, G.: INAF-Osservatorio Astronomico di Palermo, Piazza del Parlamento 1, 90134 Palermo, Italy; Martino, L.: Università degli Studi di Catania, Corso Italia 55, Catania, Italy; Vázquez-Vilar, G.: Universidad Carlos III de Madrid, Department of Signal Theory and Communications, Avenida de la Universidad 30, 28911 Leganés (Madrid), Spain; Miguez, J.: Universidad Carlos III de Madrid, Department of Signal Theory and Communications, Avenida de la Universidad 30, 28911 Leganés (Madrid), Spain",0,0,success
The rotation-magnetism relationship in solar-type stars. Constraining magnetic flux emergence rates,2025arXiv251218095I,,0,0,success
The Impact of the MAST Data Archive,2025arXiv251218101S,,0,0,success
Double Hot Jupiter Formation through Mirrored ZLK Migration in Binary Star Systems: The Case of WASP-94,2025arXiv251218108L,,0,0,success
A Search for Radio Technosignatures from Interstellar Object 3I/ATLAS with the Allen Telescope Array,2025arXiv251218142S,,0,0,success
Continuous Wide-Field Optical Monitoring for Very Early-Phase Transient Discovery,2025arXiv251218157D,,0,0,success
Red noise-based false alarm thresholds for astrophysical periodograms via Whittle's approximation to the likelihood,2025arXiv251218205E,,0,0,success
Unlocking the physics of dwarf galaxies in the 2040s: The case for a next-generation wide-field spectroscopic facility with fibres and IFUs,2025arXiv251218260T,,0,0,success
Discovery of a Luminosity-dependent Continuum Lag in NGC 4151 from Photometric and Spectroscopic Continuum Reverberation Mapping,2025arXiv251218276F,,0,0,success
Measurements of quasar proximity zones with the Lyman-$α$ forest of DESI Y1 quasars,2025arXiv251218281H,,0,0,success
Robust and scalable simulation-based inference for gravitational wave signals with gaps,2025arXiv251218290M,,0,0,success
On Lorentz Variability of Magnetically Dominated Relativistic Outflows,2025arXiv251218323B,,0,0,success
The size of 3I/ATLAS from non-gravitational acceleration,2025arXiv251218341F,,0,0,success
Standard Sirens in 2040s: Probing the Cosmic Expansion History with Gravitational Waves and Spectroscopic Galaxy Surveys,2025arXiv251218369B,,0,0,success
Energy-Dependent Shifts of Medium-Scale Anisotropies in Very-High-Energy Cosmic Rays Observed by LHAASO-KM2A,2025arXiv251218401C,,0,0,success
The evolution of obscured AGN across cosmic time -- A large quasar survey for the 2040s,2025arXiv251218421U,,0,0,success
Unveiling Long-Period Variables in M33's Central Region: Insights into Stellar Evolution and Star Formation via Near-Infrared Photometry,2025arXiv251218423A,,0,0,success
Imaging the LkCa 15 system in polarimetry and total intensity without self-subtraction artefacts,2025arXiv251218439S,,0,0,success
Observed Low-Plasma-$β$ Temperature Anisotropy Constraint Driven by $α$-Particle Drift,2025arXiv251218485M,,0,0,success
Searches for Prompt Low-Frequency Radio Counterparts to Gravitational Wave Event S250206dm with the OVRO-LWA Time Machine,2025arXiv251218543K,,0,0,success
"Harmony of the Spheres: Extension to All Points of an Algorithm for Producing a Density Field with Given Two-, Three-, and Four-Point Correlation Functions",2025arXiv251218547S,,0,0,success
Detecting stellar flares in the presence of a deterministic trend and stochastic volatility,2025arXiv251218559W,,0,0,success
Formation of Be stars via wind accretion: Case study on Black hole + Be star binaries,2025arXiv251218565L,,0,0,success
The Extended Baryonic Tully-Fisher Relation for MaNGA Galaxies,2025arXiv251218577R,,0,0,success
Linear Analyses of Thermal Instability in Stratified Medium,2025MNRAS.tmp.2131S,"Seno, Izumi: Department of Physics, Graduate School of Science, Nagoya University, Furo-cho, Chikusa-ku, Nagoya, Aichi 464-8602, Japan;; Inutsuka, Shu-ichiro: Department of Physics, Graduate School of Science, Nagoya University, Furo-cho, Chikusa-ku, Nagoya, Aichi 464-8602, Japan; Shimoda, Jiro: Institute for Cosmic Ray Research, The University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8582, Japan;",0,0,success
Solar jet-induced perturbation propagating through coronal loops and in-loop electron beam transport indicated by type II and type N radio bursts,2025arXiv251218657C,,0,0,success
Photospheric horizontal magnetic field decrease preceding a major solar eruption,2025arXiv251218690L,,0,0,success
Towards Understanding the Milky Way's Matter Field and Dynamical Accretion History based on AI-GS3 Hunter,2025arXiv251218693W,,0,0,success
Towards Unveiling the Origins of the Milky Way Bulge through Multi-band-Messenger Sky Surveys,2025arXiv251218708W,,0,0,success
"Addendum to ""Cygnus~X-3 as a semi-hidden PeVatron'' discussing the LHAASO 2025 data",2025arXiv251218786K,,0,0,success
Recurrence plot analysis of blazar gamma-ray light curves: Exploiting the time-domain capabilities of Fermi-LAT,2025arXiv251218794G,,0,0,success
Spider-Webb: Spatially-Resolved Evidence of Inside-Out Quenching in the Spiderweb Protocluster at $z \sim 2$,2025arXiv251218805L,,0,0,success
Nanohertz Gravitational Waves,2025arXiv251218822S,,0,0,success
Accretion geometry in neutron star low-mass X-ray binaries during the hard spectral state,2025MNRAS.tmp.2130M,"Meyer-Hofmeister, Emmi: Max-Planck-Institut für Astrophysik, Karl-Schwarzschild-Str. 1, D-85741 Garching, Germany; Wang, Yilong: National Astronomical Observatories, Chinese Academy of Sciences, 20A Datun Road, Beijing 100101, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China;; Liu, B. F.: National Astronomical Observatories, Chinese Academy of Sciences, 20A Datun Road, Beijing 100101, China; School of Astronomy and Space Science, University of Chinese Academy of Sciences, 19A Yuquan Road, Beijing 100049, China",0,0,success
Detecting false positives with PLATO using double-aperture photometry and centroid shifts,2025arXiv251218844G,,0,0,success
Orbital classification in rotating bar potentials using an empirical proxy of the second integral of motion,2025arXiv251218870X,,0,0,success
Solar Vortex Detection With Velocity Field Normalisation: Eliminating False Positives,2025arXiv251218876M,,0,0,success
Constraints on the polarization angle oscillations of the Crab Nebula with the Simons Array and its applications to the search for axion-like particles,2025arXiv251218882A,,0,0,success
EuroHPC SPACE CoE: Redesigning Scalable Parallel Astrophysical Codes for Exascale,2025arXiv251218883S,,1,0,success
Optical SETI at ESO in the 2040s,2025arXiv251218903I,,0,0,success
Weak Lensing Mass Calibration of the ACT DR5 Galaxy Clusters with the DES Year 3 Weak Lensing Data,2025arXiv251218935S,,0,0,success
Validating the CROCODILE model within the AGORA galaxy simulation framework,2025arXiv251218945G,,0,0,success
Fragmenting Filaments and Evolving Cores -- Insights from Dust Polarisation Study of a filament in Northern Orion B,2025arXiv251218992M,,0,0,success
$Ω_1Ω_2$-$Λ$CDM: A promising natural extension of the standard model of cosmology,2025arXiv251219000K,,0,0,success
On the Diversity of Pulsar's Frequency-Dependent Circular Polarization,2025arXiv251219056C,,0,0,success
The Milky Way Bulge Extra-Tidal Star Survey: NGC 6569,2025arXiv251219074H,,0,0,success
"Physical Conditions for Synthesis of Sc, Ti, and V in Neutrino-driven Supernovae",2025arXiv251219101H,,0,0,success
The Simons Observatory: Detector Polarization Angle Calibration using Sparse Wire Grid with Initial Data Sets of the Small Aperture Telescope,2025arXiv251219102N,,0,0,success
GW231123: A Case for Binary Microlensing in a Strong Lensing Field,2025arXiv251219118S,,1,1,success
Height and Energy Evolution of X-ray Double Sources in a Solar Flare,2025arXiv251219144P,,0,0,success
DESI DR2 Constraints on the $R_h=ct$ Universe: Model Viability and Comparison with $Λ$CDM,2025arXiv251219175M,,0,0,success
Raman Spectroscopy of Salt Deposits from the Simulated Subsurface Ocean of Enceladus,2025arXiv251219183T,,0,0,success
ALMA Observations of Cold Methanol Gas in the Large Magellanic Cloud (LMC): N79 South GMC,2025arXiv251219185M,,0,0,success
Illuminating the Dark Sector: Understanding Modified Gravity Signatures with Cross-Correlations of Gravitational Waves and Large-Scale Structure,2025arXiv251219186D,,0,0,success
The IXPE and multifrequency polarimetric view of the extreme blazars 1ES 1101-232 and RGB J0710+591,2025arXiv251219193T,,0,0,success
Enhanced Non-Thermal Line Broadening inside Coronal Cavities above Solar Prominences revealed by Spectral Imaging CoronaGraph,2025ApJ...995L..71H,"Huangfu, Chenxi: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Fu, Hui: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Li, Bo: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Huang, ZhengHua: Institute of Science and Technology for Deep Space Exploration, Suzhou Campus, Nanjing University, Suzhou 215163, People's Republic of China; Sun, MingZhe: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Liu, WeiXin: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Yu, XiaoYu: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China; Xia, LiDong: Shandong Key Laboratory of Space Environment and Exploration Technology, Institute of Space Sciences, School of Space Science and Technology, Shandong University, Shandong, People's Republic of China",0,0,success
Outburst Characteristics of Transient Low Mass X-ray Binary 4U 1608-52,2025arXiv251219204G,,0,0,success
Multi-wavelength study of the pre-eruption dip in the recurrent nova T Coronae Borealis preceding imminent nova eruption,2025arXiv251219218P,,0,0,success
Orbital Stability of Moons Around the TRAPPIST-1 Planets,2025arXiv251219226D,,0,0,success
Disentangling the hemispheres of Teegarden's Star b with LIFE,2025arXiv251219231B,,0,0,success
Identifying Quasi-Periodic Micropulses in Pulsars with FAST Using Convolutional Neural Networks,2025arXiv251219235W,,0,0,success
Dynamically close galaxy pairs from the unWISE survey: Testing the merger-AGN-star formation connection,2025arXiv251219236C,,0,0,success
Towards DM-free search for Fast Radio Bursts with Machine Learning -- I. An implementation on multibeam data,2025arXiv251219249C,,0,0,success
Sensitivity of CTAO to axion-like particles from blazars: a machine learning approach,2025arXiv251219259S,,0,0,success
Observations of the 21 cm HI Line from the Milky Way galaxy using Pyramidal Horn Radio Telescope,2025arXiv251219262B,,0,0,success
Search for Axion-Like Particles from Nearby Pre-Supernova Stars,2025arXiv251219298M,,0,0,success
Optical Follow-Up Strategies for the Next Neutrino-Detected Galactic Core-Collapse Supernova,2025arXiv251219301D,,0,0,success
Galaxy And Mass Assembly (GAMA): Deconstructing the galaxy stellar mass function by star formation and environment,2025arXiv251219310S,,0,0,success
Machine learning for the early classification of broad-lined Ic supernovae,2025arXiv251219386C,,0,0,success
Diagnosing the AGN population origin of TeV neutrinos with their spatial correlation,2025arXiv251219403C,,0,0,success
Dynamics of clusters of galaxies in the presence of dark energy: Virgo cluster,2025arXiv251219436H,,0,0,success
GALATEA: The 15-m Galactic Archaeology Spectroscopic Surveyor,2025arXiv251219444A,,0,0,success
Confining nonlinear electrodynamics black holes: from thermodynamic phases to high-frequency phenomena with accretion process,2025arXiv251219448S,,0,0,success
Revealing the intricacies of radio galaxies and filaments in the merging galaxy cluster Abell 2255. II. Properties of filaments using multi-frequency radio data,2025arXiv251219471D,,0,0,success
Low-redshift 3D Lyman-α Forest Correlations with China Space Station Telescope,2025arXiv251219474T,,0,0,success
Strong model-agnostic constraints for twin-star solutions,2025arXiv251219477B,,0,0,success
Predicting coronal mass ejection travel times using enhanced model-guided machine learning,2025arXiv251219492L,,0,0,success
Shock-induced magnetic reconnection driving Ellerman bomb emission and a spicule,2025arXiv251219547S,,0,0,success
Do low-redshift observations open the doors to an open universe?,2025arXiv251219565W,,0,0,success
Deep Learning for Primordial $B$-mode Extraction,2025arXiv251219577G,,0,0,success
Non-local-in-time structure formation and sixth-order galaxy bias,2025arXiv251219578E,,0,0,success
Impact of Galaxy Cluster Environment on the Stellar Mass Function of Galaxies,2025arXiv251219591M,,0,0,success
Period Change of the Binary System WR+O V444 Cyg: Updated Ephemeris Formula,2025arXiv251219595A,,0,0,success
Deep Hα survey of the Coma cluster: The Catalog,2025arXiv251219626K,,0,0,success
InterACTing dark radiation models after ACT,2025arXiv251219633C,,0,0,success
High-Precision Differential Radial Velocities of C3PO Wide Binaries: A Test of Modified Newtonian Dynamics (MOND),2025arXiv251219652M,,0,0,success
A High-Resolution NUV Transmission Spectrum of KELT-9b: Mg II and Fe II Escaping from the Hottest Known Giant Planet,2025arXiv251219662B,,0,0,success
A cosmologist's take on Little Red Dots,2025arXiv251219666D,,0,0,success
Are Primordial Black Holes Truly Fine-Tuned?,2025arXiv251219668I,,1,1,success
Ionizing Photon Production Efficiencies and Chemical Abundances at Cosmic Dawn Revealed by Ultra-Deep Rest-Frame Optical Spectroscopy of JADES-GS-z14-0,2025arXiv251219695H,,0,0,success
Breakthrough Listen Observations of 3I/ATLAS with the Green Bank Telescope at 1-12 GHz,2025RNAAS...9..351J,"Jacobson-Bell, Ben: Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Croft, Steve: Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; White, Ellie: Department of Mathematics and Physics, Marshall University, Huntington, WV 25755, USA; Siemion, Andrew P. V.: Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of Oxford, Denys Wilkinson Building, Keble Road, Oxford OX1 3RH, UK; SETI Institute, 339 Bernardo Ave, Suite 200, Mountain View, CA 94043, USA; University of Malta, Institute of Space Sciences and Astronomy, Malta; Department of Physics and Astronomy, University of Manchester, UK; Lebofsky, Matthew: Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; MacMahon, David H. E.: Department of Astronomy, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA; Breakthrough Listen, University of California, Berkeley, 501 Campbell Hall #3411, Berkeley, CA 94720, USA",0,0,success
SN 2025ogs: A Spectroscopically-Normal Type Ia Supernova at z = 2 as a Benchmark for Redshift Evolution,2025arXiv251219783S,,1,1,success
K-DRIFT Science Theme: Illuminating the Next Era of Galaxy Cluster Science,2025arXiv251219787Y,,0,0,success
A multiwavelength study of an early galaxy group merger in COSMOS revealed by two tailed radio galaxies at z = 0.35,2025A&A...704A.337V,"Vulić, P.: Department of Physics, University of Zagreb, Bijenička cesta 32, Zagreb, Croatia;; Smolčić, V.: Department of Physics, University of Zagreb, Bijenička cesta 32, Zagreb, Croatia;; Gozaliasl, G.: Department of Computer Science, Aalto University, PO Box 15400, 00076, Espoo, Finland; Department of Physics, University of Helsinki, P.O. Box 64, FI-00014, Helsinki, Finland;; Delvecchio, I.: INAF ─ Osservatorio di Astrofisica e Scienza dello Spazio di Bologna, Via Gobetti 93/3, I-40129, Bologna, Italy;; Finoguenov, A.: Department of Physics, University of Helsinki, P.O. Box 64, FI-00014, Helsinki, Finland;",0,0,success
"New and updated timing models for seven young energetic X-ray pulsars, including the Big Glitcher PSR J0537-6910",2025MNRAS.tmp.2132H,"Ho, Wynn C. G.: Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA;; Kuiper, Lucien: Space Research Organisation Netherlands, Niels Bohrweg 4, 2333 CA, Leiden, Netherlands; Espinoza, Cristóbal M.: Departamento de Física, Universidad de Santiago de Chile (USACH), Av. Víctor Jara 3493, Estación Central, Chile; Center for Interdisciplinary Research in Astrophysics and Space Sciences (CIRAS), Universidad de Santiago de Chile, Santiago, Chile; Leon, Timothy: Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA; Waybright, Bennett: Department of Physics and Astronomy, Haverford College, 370 Lancaster Avenue, Haverford, PA 19041, USA; Guillot, Sebastien: IRAP, CNRS, 9 avenue du Colonel Roche, BP 44346, 31028 Toulouse Cedex 4, France; Université de Toulouse, CNES, UPS-OMP, 31028 Toulouse, France; Arzoumanian, Zaven: X-Ray Astrophysics Laboratory, NASA Goddard Space Flight Center, Greenbelt, MD, 20771, USA; Bogdanov, Slavko: Columbia Astrophysics Laboratory, Columbia University, 550 West 120th Street, New York, NY 10027, USA; Harding, Alice K.: Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM 87545, USA",0,0,success
Obtaining Magnetization of Super-Alfvénic Turbulence with the Structure Functions of Gradient Directions,2025arXiv251219816L,,0,0,success
VERITAS contributions to the 39th International Cosmic Ray Conference,2025arXiv251219835A,,0,0,success
The EUV Late-Phase: Statistical Results from 15 Years of Solar Dynamics Observatory Observations,2025arXiv251219845G,,0,0,success
Unfolding the Energy Spectrum of Ultra-High-Energy Cosmic Rays Using Pierre Auger Open Data,2025arXiv251219862K,,0,0,success
"Double-hump spectrum, pulse profile dip, and pulsed fraction spectra from the low-accretion regime in the X-ray pulsar MAXI J0655-013",2025arXiv251219876M,,0,0,success
Detecting Strongly-Lensed Supernovae in Wide-field Space Telescope Imaging via Deep Learning,2025arXiv251219886K,,0,0,success
Observational constraints on early time non-phantom behaviour of dynamical dark energy,2025arXiv251219888S,,1,1,success
Superluminal Wave Activation at Relativistic Magnetized Shocks,2025arXiv251219892M,,0,0,success
Astrophysical constraints on the cold equation of state of the strongly interacting matter,2025arXiv251219907K,,0,0,success
Observation of Large-Scale Kelvin-Helmholtz Instability Wave Driven by a Coronal Mass Ejection,2025arXiv251219942O,,0,0,success
Lyman Continuum escaping from in-situ formed stars in a tidal bridge at z = 3,2025arXiv251219967R,,0,0,success
Microlensing Black Hole Shadows-II: Constraining Primordial Black Hole Dark Matter using the photon rings of M87 and Sgr A*,2025arXiv251220037V,,0,0,success
Stable mass transfer in massive binaries leading to merging black holes,2025arXiv251220054X,,0,0,success
Unveiling the Dual Nature of V1180 Cas: UXor-like Dips and EXor-like Bursts Across a Decade,2025arXiv251220085C,,0,0,success
"Detection of dark companions via the combination of eclipse timing variation, Hipparcos and/or Gaia astrometry: the cases of V Puppis and CY Ari",2025arXiv251220087X,,0,0,success
Alfvénic solar wind intervals observed by Solar Orbiter: Exploiting the capability of the SWA plasma suite and source region investigation,2025arXiv251220098D,,0,0,success
The Solirad (So) as a Convenient Unit for Quoting Astronomical Irradiances for Planetary Insolations and Exoplanetary Instellations,2025arXiv251220126M,,0,0,success
Parity-odd Four-Point Correlation Function from DESI Data Release 1 Luminous Red Galaxy Sample,2025arXiv251220132H,,0,0,success
Abundance of cosmic voids in EFT of dark energy,2025arXiv251220171T,,0,0,success
Formation of an optically thick shocked shell in the very fast nova V1674 Herculis: the origin of superbrightness,2025arXiv251220175H,,0,0,success
Deep learning-driven atmospheric parameter prediction for hot subdwarf stars with synthetic and observed spectra,2025arXiv251220185L,,0,0,success
Decay of $f(R)$ quintessence into dark matter: mitigating the Hubble tension?,2025arXiv251220193M,,1,1,success
How Mergers and Flybys Shape Azimuthal Age Patterns in Spiral Galaxies,2025arXiv251220241C,,0,0,success
"The AI Scaling Wall of Diminishing Returns: Of LLMs, Electric Dogs, and General Relativity",2025arXiv251220264S,,0,0,success
Super-Eddington Accretion through a Multiwavelength Lens: Searching for Counterparts of Ultraluminous X-ray Sources,2025arXiv251220265A,,0,0,success
Presence of solar inner F-corona and coronal heating,2025arXiv251220266Q,,0,0,success
The impact of selection criteria on the properties of green valley galaxies,2025arXiv251220379N,,0,0,success
A Spectrum of Cosmological Rips and Their Observational Signatures,2025arXiv251220383A,,1,1,success
From Cosmology to Cosmonomy,2025arXiv251220416S,,0,0,success
The Indian Pulsar Timing Array Data Release 2: II. Customised Single-Pulsar Noise Analysis and Noise Budget,2025arXiv251220455N,,0,0,success
Machine Learning vs. SED-Fitting: A Comparative Analysis of Accuracy in Stellar Mass Estimation,2025arXiv251220544A,,0,0,success
Revisiting the near infrared Calcium triplet as metallicity indicator,2025arXiv251220574N,,0,0,success
The Sensitivity of PUEO to Cosmogenic Neutrinos and Exotic Physics Scenarios,2025arXiv251220594S,,0,0,success
Dynamical Dark Energy models in light of the latest observations,2025arXiv251220616D,,2,1,success
BASS.L. Near-infrared Data Release 3: A Spectral Atlas and Characterization of AGN,2025arXiv251220702G,,0,0,success
Flux rope formation through flux cancellation of sheared coronal arcades in a 3D convectively-driven MHD simulation,2025arXiv251220716V,,0,0,success
A Physics Informed Neural Network For Deriving MHD State Vectors From Global Active Regions Observations,2025arXiv251220747C,,0,0,success
"Simultaneous JWST, NuSTAR, and VLA Monitoring of Sgr A*: A Unified Picture of the Variable IR, X-ray and Radio Emission",2025arXiv251220786Y,,0,0,success
CORINOS IV: Quantifying Baseline-Fitting Uncertainties in SO$_2$ Ice Measurements with JWST/MIRI,2025arXiv251220820G,,0,0,success
"Thawing Quintessence: Priors, evidence, and likely trajectories",2025arXiv251220832S,,0,0,success
Revisiting the Mass Step: Environmental Dependence of Type Ia Supernovae in Low-Metallicity Host Galaxies,2025arXiv251220834P,,0,0,success
Universal relations between the quasinormal modes of neutron stars and magnetic tidal deformability,2025arXiv251220867S,,0,0,success
On the Relationship Between Nanoflare Energy and Delay in the Closed Solar Corona,2025arXiv251220875S,,0,0,success
Considering lensing effect on gravitational wave signals from black holes in mass gap,2025arXiv251220890Y,,0,0,success
Expanding Asteroseismic Studies in Star Clusters Using NASA's TESS and ESA's Gaia Missions,2025arXiv251220923M,,0,0,success
Mid-IR luminosity functions: inferred dusty cosmic star-formation and black hole accretion histories from the JWST SMILES,2025arXiv251220945L,,0,0,success
The polar IL Leo in a low accretion state,2025arXiv251220955S,,0,0,success
GW241011 and GW241110: Hints of Hierarchical Mergers from the Merger Entropy Index,2025arXiv251220965L,,0,0,success
IMPACTX: An X-ray Spectral Model for Polar Dust and Clumpy Torus,2025arXiv251220993F,,0,0,success
DRAGNs in the Forest: Identifying Artifacts with Random Forest Models in the VLASS DRAGNs Catalog,2025arXiv251220999E,,0,0,success
Quantum scattering of hot H/D on CO$_2$: Cross sections and rate coefficients for planetary atmospheres and their evolution,2025arXiv251221044B,,0,0,success
The transport of angular momentum for massive stars I. Formation of slowly rotating WNE stars,2025arXiv251221074S,,0,0,success
Asteroseismology and Dynamics Reveal Interior Structure and Coeval Evolution in the Triply Post-Main-Sequence system DG Leo,2025arXiv251221123L,,0,0,success
Evolution of the 2021 Outburst of GX 339-4 with AstroSat,2025MNRAS.tmp.2149S,"Sharma, Vaibhav: Department of Physics, Indian Institute of Technology Kanpur, Kanpur Nagar, Uttar Pradesh 208016, India; Misra, Ranjeev: Inter-University Center for Astronomy and Astrophysics, Ganeshkhind, Pune, Maharashtra 411007, India;; Yadav, J. S.: Space, Planetary and Astronomical Sciences and Engineering, IIT Kanpur, Kanpur Nagar, Uttar Pradesh 208016, India; Department of Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai, Maharashtra 400005, India; Garg, Akash: Inter-University Center for Astronomy and Astrophysics, Ganeshkhind, Pune, Maharashtra 411007, India;; Jain, Pankaj: Department of Physics, Indian Institute of Technology Kanpur, Kanpur Nagar, Uttar Pradesh 208016, India; Space, Planetary and Astronomical Sciences and Engineering, IIT Kanpur, Kanpur Nagar, Uttar Pradesh 208016, India",0,0,success
The disc instability model: original recipe and additional ingredients,2025arXiv251221188H,,0,0,success
Exploring the Role of Vector Potential and Plasma-$β$ in Jet Formation from Magnetized Accretion Flows,2025Univ...11..404P,"Palit, Ishika: Department of Physics, Institute of Astronomy National Tsing Hua University, Hsinchu 30013, Taiwan;; Sodejana, Miles Angelo Paloma: Department of Physics, University of Southern Mindanao─Main, Kabacan 9407, Cotabato, Philippines;; Yang, Hsiang-Yi Karen: Department of Physics, Institute of Astronomy National Tsing Hua University, Hsinchu 30013, Taiwan; Physics Division, National Center for Theoretical Sciences, Taipei 10617, Taiwan;",0,0,success
Assessing systematic uncertainties from spectral re-analysis of Cyg X-1 with different coronal geometries,2025arXiv251221230N,,0,0,success
Minijets and Broken Stationarity in a Blazar : Novel Insights into the Origin of $γ$-ray Variability in CTA 102,2025arXiv251221240R,,0,0,success
ZTF SN Ia DR2 follow-up: Characterization of subluminous Type Ia supernovae in the ZTF DR2 full sample,2025arXiv251221256A,,0,0,success
A Near-Infrared and Optical Study of NGC 5822: An Open Cluster Hosting Barium-stars and Lithium-Enriched Giant Stars,2025arXiv251221289H,,0,0,success
The Office of Astronomy for Development Impact Cycle,2025arXiv251221292M,,0,0,success
Changes in R Leonis over Two Centuries: Period evolution and dust shell development,2025arXiv251221296G,,0,0,success
Bar Formation in Disc Galaxies: Internal Kinematics and Environmental Influence in MaNGA Galaxies,2025arXiv251221303A,,0,0,success
Habitability of exoplanets orbiting flaring stars,2025arXiv251221357S,,0,0,success
ESO Expanding Horizons White Paper: Electromagnetic counterparts of massive BH mergers with LISA,2025arXiv251221359D,,0,0,success
Detection of Lensed Gravitational Waves in the Millihertz Band Using Frequency-Domain Lensing Feature Extraction Network,2025arXiv251221370W,,0,0,success
"A Velocity Coupled Radial Acceleration Ansatz for Disk-Galaxy Rotation Curves: Fits to SPARC, Bayesian Inference, and Parameter Identifiability",2025arXiv251221376D,,0,0,success
Sensitivity of Weak Lensing Surveys to Gravitational Waves from Inspiraling Supermassive Black Hole Binaries,2025arXiv251221392A,,0,0,success
On the Cooling of Compact Stars in Light of the HESS J1731-347 Remnant,2025arXiv251221406N,,0,0,success
Neural Network for Simulating Radio Emission from Extensive Air Showers,2025arXiv251221407S,,0,0,success
Impact of the EPOS.LHC-R hadronic interaction model on the Centaurus A ultrahigh-energy cosmic-ray scenario,2025arXiv251221415M,,0,0,success
