title,abs_journal,status
Searches for Prompt Low-Frequency Radio Counterparts to Gravitational Wave Event S250206dm with the OVRO-LWA Time Machine,arXiv e-prints,success
"Harmony of the Spheres: Extension to All Points of an Algorithm for Producing a Density Field with Given Two-, Three-, and Four-Point Correlation Functions",arXiv e-prints,success
Detecting stellar flares in the presence of a deterministic trend and stochastic volatility,arXiv e-prints,success
Formation of Be stars via wind accretion: Case study on Black hole + Be star binaries,arXiv e-prints,success
The Extended Baryonic Tully-Fisher Relation for MaNGA Galaxies,arXiv e-prints,success
Linear Analyses of Thermal Instability in Stratified Medium,Monthly Notices of the Royal Astronomical Society,success
Solar jet-induced perturbation propagating through coronal loops and in-loop electron beam transport indicated by type II and type N radio bursts,arXiv e-prints,success
Photospheric horizontal magnetic field decrease preceding a major solar eruption,arXiv e-prints,success
Towards Understanding the Milky Way's Matter Field and Dynamical Accretion History based on AI-GS3 Hunter,arXiv e-prints,success
Towards Unveiling the Origins of the Milky Way Bulge through Multi-band-Messenger Sky Surveys,arXiv e-prints,success
"Addendum to ""Cygnus~X-3 as a semi-hidden PeVatron'' discussing the LHAASO 2025 data",arXiv e-prints,success
Recurrence plot analysis of blazar gamma-ray light curves: Exploiting the time-domain capabilities of Fermi-LAT,arXiv e-prints,success
Spider-Webb: Spatially-Resolved Evidence of Inside-Out Quenching in the Spiderweb Protocluster at $z \sim 2$,arXiv e-prints,success
Nanohertz Gravitational Waves,arXiv e-prints,success
Accretion geometry in neutron star low-mass X-ray binaries during the hard spectral state,Monthly Notices of the Royal Astronomical Society,success
Detecting false positives with PLATO using double-aperture photometry and centroid shifts,arXiv e-prints,success
Orbital classification in rotating bar potentials using an empirical proxy of the second integral of motion,arXiv e-prints,success
Solar Vortex Detection With Velocity Field Normalisation: Eliminating False Positives,arXiv e-prints,success
Constraints on the polarization angle oscillations of the Crab Nebula with the Simons Array and its applications to the search for axion-like particles,arXiv e-prints,success
EuroHPC SPACE CoE: Redesigning Scalable Parallel Astrophysical Codes for Exascale,arXiv e-prints,success
Optical SETI at ESO in the 2040s,arXiv e-prints,success
Weak Lensing Mass Calibration of the ACT DR5 Galaxy Clusters with the DES Year 3 Weak Lensing Data,arXiv e-prints,success
Validating the CROCODILE model within the AGORA galaxy simulation framework,arXiv e-prints,success
Fragmenting Filaments and Evolving Cores -- Insights from Dust Polarisation Study of a filament in Northern Orion B,arXiv e-prints,success
$Ω_1Ω_2$-$Λ$CDM: A promising natural extension of the standard model of cosmology,arXiv e-prints,success
On the Diversity of Pulsar's Frequency-Dependent Circular Polarization,arXiv e-prints,success
The Milky Way Bulge Extra-Tidal Star Survey: NGC 6569,arXiv e-prints,success
"Physical Conditions for Synthesis of Sc, Ti, and V in Neutrino-driven Supernovae",arXiv e-prints,success
The Simons Observatory: Detector Polarization Angle Calibration using Sparse Wire Grid with Initial Data Sets of the Small Aperture Telescope,arXiv e-prints,success
GW231123: A Case for Binary Microlensing in a Strong Lensing Field,arXiv e-prints,success
Height and Energy Evolution of X-ray Double Sources in a Solar Flare,arXiv e-prints,success
DESI DR2 Constraints on the $R_h=ct$ Universe: Model Viability and Comparison with $Λ$CDM,arXiv e-prints,success
Raman Spectroscopy of Salt Deposits from the Simulated Subsurface Ocean of Enceladus,arXiv e-prints,success
ALMA Observations of Cold Methanol Gas in the Large Magellanic Cloud (LMC): N79 South GMC,arXiv e-prints,success
Illuminating the Dark Sector: Understanding Modified Gravity Signatures with Cross-Correlations of Gravitational Waves and Large-Scale Structure,arXiv e-prints,success
The IXPE and multifrequency polarimetric view of the extreme blazars 1ES 1101-232 and RGB J0710+591,arXiv e-prints,success
Enhanced Non-Thermal Line Broadening inside Coronal Cavities above Solar Prominences revealed by Spectral Imaging CoronaGraph,The Astrophysical Journal,success
Outburst Characteristics of Transient Low Mass X-ray Binary 4U 1608-52,arXiv e-prints,success
Multi-wavelength study of the pre-eruption dip in the recurrent nova T Coronae Borealis preceding imminent nova eruption,arXiv e-prints,success
Orbital Stability of Moons Around the TRAPPIST-1 Planets,arXiv e-prints,success
Disentangling the hemispheres of Teegarden's Star b with LIFE,arXiv e-prints,success
Identifying Quasi-Periodic Micropulses in Pulsars with FAST Using Convolutional Neural Networks,arXiv e-prints,success
Dynamically close galaxy pairs from the unWISE survey: Testing the merger-AGN-star formation connection,arXiv e-prints,success
Towards DM-free search for Fast Radio Bursts with Machine Learning -- I. An implementation on multibeam data,arXiv e-prints,success
Sensitivity of CTAO to axion-like particles from blazars: a machine learning approach,arXiv e-prints,success
Observations of the 21 cm HI Line from the Milky Way galaxy using Pyramidal Horn Radio Telescope,arXiv e-prints,success
Search for Axion-Like Particles from Nearby Pre-Supernova Stars,arXiv e-prints,success
Optical Follow-Up Strategies for the Next Neutrino-Detected Galactic Core-Collapse Supernova,arXiv e-prints,success
Galaxy And Mass Assembly (GAMA): Deconstructing the galaxy stellar mass function by star formation and environment,arXiv e-prints,success
Machine learning for the early classification of broad-lined Ic supernovae,arXiv e-prints,success
Diagnosing the AGN population origin of TeV neutrinos with their spatial correlation,arXiv e-prints,success
Dynamics of clusters of galaxies in the presence of dark energy: Virgo cluster,arXiv e-prints,success
GALATEA: The 15-m Galactic Archaeology Spectroscopic Surveyor,arXiv e-prints,success
Confining nonlinear electrodynamics black holes: from thermodynamic phases to high-frequency phenomena with accretion process,arXiv e-prints,success
Revealing the intricacies of radio galaxies and filaments in the merging galaxy cluster Abell 2255. II. Properties of filaments using multi-frequency radio data,arXiv e-prints,success
Low-redshift 3D Lyman-α Forest Correlations with China Space Station Telescope,arXiv e-prints,success
Strong model-agnostic constraints for twin-star solutions,arXiv e-prints,success
Predicting coronal mass ejection travel times using enhanced model-guided machine learning,arXiv e-prints,success
Shock-induced magnetic reconnection driving Ellerman bomb emission and a spicule,arXiv e-prints,success
Do low-redshift observations open the doors to an open universe?,arXiv e-prints,success
Deep Learning for Primordial $B$-mode Extraction,arXiv e-prints,success
Non-local-in-time structure formation and sixth-order galaxy bias,arXiv e-prints,success
Impact of Galaxy Cluster Environment on the Stellar Mass Function of Galaxies,arXiv e-prints,success
Period Change of the Binary System WR+O V444 Cyg: Updated Ephemeris Formula,arXiv e-prints,success
Deep Hα survey of the Coma cluster: The Catalog,arXiv e-prints,success
InterACTing dark radiation models after ACT,arXiv e-prints,success
High-Precision Differential Radial Velocities of C3PO Wide Binaries: A Test of Modified Newtonian Dynamics (MOND),arXiv e-prints,success
A High-Resolution NUV Transmission Spectrum of KELT-9b: Mg II and Fe II Escaping from the Hottest Known Giant Planet,arXiv e-prints,success
A cosmologist's take on Little Red Dots,arXiv e-prints,success
Are Primordial Black Holes Truly Fine-Tuned?,arXiv e-prints,success
Ionizing Photon Production Efficiencies and Chemical Abundances at Cosmic Dawn Revealed by Ultra-Deep Rest-Frame Optical Spectroscopy of JADES-GS-z14-0,arXiv e-prints,success
Breakthrough Listen Observations of 3I/ATLAS with the Green Bank Telescope at 1-12 GHz,Research Notes of the American Astronomical Society,success
SN 2025ogs: A Spectroscopically-Normal Type Ia Supernova at z = 2 as a Benchmark for Redshift Evolution,arXiv e-prints,success
K-DRIFT Science Theme: Illuminating the Next Era of Galaxy Cluster Science,arXiv e-prints,success
A multiwavelength study of an early galaxy group merger in COSMOS revealed by two tailed radio galaxies at z = 0.35,Astronomy and Astrophysics,success
"New and updated timing models for seven young energetic X-ray pulsars, including the Big Glitcher PSR J0537-6910",Monthly Notices of the Royal Astronomical Society,success
Obtaining Magnetization of Super-Alfvénic Turbulence with the Structure Functions of Gradient Directions,arXiv e-prints,success
VERITAS contributions to the 39th International Cosmic Ray Conference,arXiv e-prints,success
The EUV Late-Phase: Statistical Results from 15 Years of Solar Dynamics Observatory Observations,arXiv e-prints,success
Unfolding the Energy Spectrum of Ultra-High-Energy Cosmic Rays Using Pierre Auger Open Data,arXiv e-prints,success
"Double-hump spectrum, pulse profile dip, and pulsed fraction spectra from the low-accretion regime in the X-ray pulsar MAXI J0655-013",arXiv e-prints,success
Detecting Strongly-Lensed Supernovae in Wide-field Space Telescope Imaging via Deep Learning,arXiv e-prints,success
Observational constraints on early time non-phantom behaviour of dynamical dark energy,arXiv e-prints,success
Superluminal Wave Activation at Relativistic Magnetized Shocks,arXiv e-prints,success
Astrophysical constraints on the cold equation of state of the strongly interacting matter,arXiv e-prints,success
Observation of Large-Scale Kelvin-Helmholtz Instability Wave Driven by a Coronal Mass Ejection,arXiv e-prints,success
Lyman Continuum escaping from in-situ formed stars in a tidal bridge at z = 3,arXiv e-prints,success
Microlensing Black Hole Shadows-II: Constraining Primordial Black Hole Dark Matter using the photon rings of M87 and Sgr A*,arXiv e-prints,success
Stable mass transfer in massive binaries leading to merging black holes,arXiv e-prints,success
Unveiling the Dual Nature of V1180 Cas: UXor-like Dips and EXor-like Bursts Across a Decade,arXiv e-prints,success
"Detection of dark companions via the combination of eclipse timing variation, Hipparcos and/or Gaia astrometry: the cases of V Puppis and CY Ari",arXiv e-prints,success
Alfvénic solar wind intervals observed by Solar Orbiter: Exploiting the capability of the SWA plasma suite and source region investigation,arXiv e-prints,success
The Solirad (So) as a Convenient Unit for Quoting Astronomical Irradiances for Planetary Insolations and Exoplanetary Instellations,arXiv e-prints,success
Parity-odd Four-Point Correlation Function from DESI Data Release 1 Luminous Red Galaxy Sample,arXiv e-prints,success
Abundance of cosmic voids in EFT of dark energy,arXiv e-prints,success
Formation of an optically thick shocked shell in the very fast nova V1674 Herculis: the origin of superbrightness,arXiv e-prints,success
Deep learning-driven atmospheric parameter prediction for hot subdwarf stars with synthetic and observed spectra,arXiv e-prints,success
Decay of $f(R)$ quintessence into dark matter: mitigating the Hubble tension?,arXiv e-prints,success
How Mergers and Flybys Shape Azimuthal Age Patterns in Spiral Galaxies,arXiv e-prints,success
"The AI Scaling Wall of Diminishing Returns: Of LLMs, Electric Dogs, and General Relativity",arXiv e-prints,success
Super-Eddington Accretion through a Multiwavelength Lens: Searching for Counterparts of Ultraluminous X-ray Sources,arXiv e-prints,success
Presence of solar inner F-corona and coronal heating,arXiv e-prints,success
The impact of selection criteria on the properties of green valley galaxies,arXiv e-prints,success
A Spectrum of Cosmological Rips and Their Observational Signatures,arXiv e-prints,success
From Cosmology to Cosmonomy,arXiv e-prints,success
The Indian Pulsar Timing Array Data Release 2: II. Customised Single-Pulsar Noise Analysis and Noise Budget,arXiv e-prints,success
Machine Learning vs. SED-Fitting: A Comparative Analysis of Accuracy in Stellar Mass Estimation,arXiv e-prints,success
Revisiting the near infrared Calcium triplet as metallicity indicator,arXiv e-prints,success
The Sensitivity of PUEO to Cosmogenic Neutrinos and Exotic Physics Scenarios,arXiv e-prints,success
Dynamical Dark Energy models in light of the latest observations,arXiv e-prints,success
BASS.L. Near-infrared Data Release 3: A Spectral Atlas and Characterization of AGN,arXiv e-prints,success
Flux rope formation through flux cancellation of sheared coronal arcades in a 3D convectively-driven MHD simulation,arXiv e-prints,success
A Physics Informed Neural Network For Deriving MHD State Vectors From Global Active Regions Observations,arXiv e-prints,success
"Simultaneous JWST, NuSTAR, and VLA Monitoring of Sgr A*: A Unified Picture of the Variable IR, X-ray and Radio Emission",arXiv e-prints,success
CORINOS IV: Quantifying Baseline-Fitting Uncertainties in SO$_2$ Ice Measurements with JWST/MIRI,arXiv e-prints,success
"Thawing Quintessence: Priors, evidence, and likely trajectories",arXiv e-prints,success
Revisiting the Mass Step: Environmental Dependence of Type Ia Supernovae in Low-Metallicity Host Galaxies,arXiv e-prints,success
Universal relations between the quasinormal modes of neutron stars and magnetic tidal deformability,arXiv e-prints,success
On the Relationship Between Nanoflare Energy and Delay in the Closed Solar Corona,arXiv e-prints,success
Considering lensing effect on gravitational wave signals from black holes in mass gap,arXiv e-prints,success
Expanding Asteroseismic Studies in Star Clusters Using NASA's TESS and ESA's Gaia Missions,arXiv e-prints,success
Mid-IR luminosity functions: inferred dusty cosmic star-formation and black hole accretion histories from the JWST SMILES,arXiv e-prints,success
The polar IL Leo in a low accretion state,arXiv e-prints,success
GW241011 and GW241110: Hints of Hierarchical Mergers from the Merger Entropy Index,arXiv e-prints,success
IMPACTX: An X-ray Spectral Model for Polar Dust and Clumpy Torus,arXiv e-prints,success
DRAGNs in the Forest: Identifying Artifacts with Random Forest Models in the VLASS DRAGNs Catalog,arXiv e-prints,success
Quantum scattering of hot H/D on CO$_2$: Cross sections and rate coefficients for planetary atmospheres and their evolution,arXiv e-prints,success
The transport of angular momentum for massive stars I. Formation of slowly rotating WNE stars,arXiv e-prints,success
Asteroseismology and Dynamics Reveal Interior Structure and Coeval Evolution in the Triply Post-Main-Sequence system DG Leo,arXiv e-prints,success
Evolution of the 2021 Outburst of GX 339-4 with AstroSat,Monthly Notices of the Royal Astronomical Society,success
The disc instability model: original recipe and additional ingredients,arXiv e-prints,success
Exploring the Role of Vector Potential and Plasma-$β$ in Jet Formation from Magnetized Accretion Flows,Universe,success
Assessing systematic uncertainties from spectral re-analysis of Cyg X-1 with different coronal geometries,arXiv e-prints,success
Minijets and Broken Stationarity in a Blazar : Novel Insights into the Origin of $γ$-ray Variability in CTA 102,arXiv e-prints,success
ZTF SN Ia DR2 follow-up: Characterization of subluminous Type Ia supernovae in the ZTF DR2 full sample,arXiv e-prints,success
A Near-Infrared and Optical Study of NGC 5822: An Open Cluster Hosting Barium-stars and Lithium-Enriched Giant Stars,arXiv e-prints,success
The Office of Astronomy for Development Impact Cycle,arXiv e-prints,success
Changes in R Leonis over Two Centuries: Period evolution and dust shell development,arXiv e-prints,success
Bar Formation in Disc Galaxies: Internal Kinematics and Environmental Influence in MaNGA Galaxies,arXiv e-prints,success
Habitability of exoplanets orbiting flaring stars,arXiv e-prints,success
ESO Expanding Horizons White Paper: Electromagnetic counterparts of massive BH mergers with LISA,arXiv e-prints,success
Detection of Lensed Gravitational Waves in the Millihertz Band Using Frequency-Domain Lensing Feature Extraction Network,arXiv e-prints,success
"A Velocity Coupled Radial Acceleration Ansatz for Disk-Galaxy Rotation Curves: Fits to SPARC, Bayesian Inference, and Parameter Identifiability",arXiv e-prints,success
Sensitivity of Weak Lensing Surveys to Gravitational Waves from Inspiraling Supermassive Black Hole Binaries,arXiv e-prints,success
On the Cooling of Compact Stars in Light of the HESS J1731-347 Remnant,arXiv e-prints,success
Neural Network for Simulating Radio Emission from Extensive Air Showers,arXiv e-prints,success
Impact of the EPOS.LHC-R hadronic interaction model on the Centaurus A ultrahigh-energy cosmic-ray scenario,arXiv e-prints,success
A Modal Approach to Constrain Inflation through Numerical Bispectra,arXiv e-prints,success
Early Planet Formation in Embedded Disks (eDisk). XIX. Structures of molecular outflows,arXiv e-prints,success
Elemental abundance pattern and temperature inversion on the dayside of HAT-P-70b observed with CARMENES and PEPSI,arXiv e-prints,success
Episodic planetesimal disruptions triggered by dissipation of gas disk,arXiv e-prints,success
Numerical Simulations of the Circularized Accretion Flow in Population III Star Tidal Disruption Events. I. The Accretion Flow and the Wind,arXiv e-prints,success
Multiband Gravitational Wave Detection Prospects for M31 UCXB-1 System in Low and Middle Frequency Band,arXiv e-prints,success
Can A Kinematically Hot and Thick Disk Form A Bar? : Role of Highly Spinning Dark Matter Halos,arXiv e-prints,success
Particle production and Higgs reheating,arXiv e-prints,success
Numerical simulation of lunar response to gravitational waves and its 3D topographic effect using the spectral-element method,arXiv e-prints,success
VLBI Diagnostics of Off-axis Jets in Radio Flares of Tidal Disruption Events,arXiv e-prints,success
A systematic study on the aromatic and aliphatic hydrocarbon emission features of nearby galaxies using AKARI near-IR spectra,arXiv e-prints,success
Investigating the signs of evolutionary characteristics in the energy spectrum of shock wave acceleration,arXiv e-prints,success
The Effect of Magnetic Field Dissipation in the Inner Heliosheath: Reconciling Global Heliosphere Model and Voyager Data,arXiv e-prints,success
A self-consistent 3D MHD model producing a solar blowout jet,arXiv e-prints,success
Golden and Silver Dark Sirens for precise H0 measurement with HETDEX,arXiv e-prints,success
The rotation curve of the Milky Way measured by Classical Cepheids from Gaia DR3,arXiv e-prints,success
Comprehensive study of solar type II radio bursts and the properties of the associated shock waves,arXiv e-prints,success
Compact Ca II K Brightenings Precede Solar Flares: A Dunn Solar Telescope Pilot Study,arXiv e-prints,success
Spectral State Switching in Mrk 421: Results from the AstroSat LAXPC/SXT Observations,arXiv e-prints,success
Implications of Cosmic Birefringence for Multi-Field ALP Dark Matter,arXiv e-prints,success
Long-term monitoring of repeating FRB 20220912A with the uGMRT at low radio frequencies,arXiv e-prints,success
A Rare Millisecond Pulsar with Cross-Pole Emission: Single-Pulse Insights from PSR J1857+0943,arXiv e-prints,success
The First X-ray Polarimetry of GRS 1739--278 Reveals Its Rapidly Spinning Black Hole,arXiv e-prints,success
"TITAN DR1: An Improved, Validated, and Systematically-Controlled Recalibration of ATLAS Photometry toward Type Ia Supernova Cosmology",arXiv e-prints,success
"A large, long-lived, slowly-expanding superbubble across the Perseus Arm",arXiv e-prints,success
"WST spectroscopic variability alerts: discovery space, data flow system requirements",arXiv e-prints,success
Superradiant and dynamical spin-down of neutron stars with gravitational wave implications,arXiv e-prints,success
From emission to absorption: the FAST observation of the OH 18-cm lines from the Comet C2025/A6,arXiv e-prints,success
Cosmic-Ray-Constrained LSTM Model for Geomagnetic Storm Prediction,arXiv e-prints,success
Multiband optical variability on diverse timescales of the blazar Ton 599 from 2011 to 2023,arXiv e-prints,success
Inferring Eccentricity of Binary Black Holes from Spin-Orbit Misalignment,arXiv e-prints,success
Primordial black holes and smooth coarse-graining in excursion set theory,arXiv e-prints,success
Searching for Cosmological Collider in the Planck CMB Data II: collider templates and Modal analysis,arXiv e-prints,success
Radio Supernovae,arXiv e-prints,success
Quenching pathways in the green valley at low redshift: confronting SDSS AGN hosts with IllustrisTNG and EAGLE,arXiv e-prints,success
Multi-Messenger Predictions for T Coronae Borealis: Probing Particle Acceleration in Novae,arXiv e-prints,success
On the origin of sinusoidal brightness variations in F to O-type stars through radial velocities,arXiv e-prints,success
Water Production of Interstellar Comet 3I/ATLAS from SOHO/SWAN Observations after Perihelion,arXiv e-prints,success
Clustering Confuses Spectro-photometry: An Investigation of 2D and 3D Forced Profile Matching for Stacking Line-intensity Mapping Data on Source Catalogues,arXiv e-prints,success
"Interstellar Interloper 3I/ATLAS: Nucleus Size, Photometry in RGB, Af(rho) and Antitail Structure Analysis",arXiv e-prints,success
Formation of the Moon and Binary Asteroids,arXiv e-prints,success
Simulations of facular magnetic fields on cool stars I: Main sequence stars with solar metallicity,arXiv e-prints,success
Space AI: Leveraging Artificial Intelligence for Space to Improve Life on Earth,arXiv e-prints,success
On the origin and nature of double-double radio galaxies,arXiv e-prints,success
Chain Reactions in Space: Analyzing the Impact of Satellite Collisions and Debris Accumulation,arXiv e-prints,success
Starkindler: An Uncertainty Aware Objective for Photometric Redshift Estimation,arXiv e-prints,success
Evidence for a Stratified Accretion Disk Wind in AGN,arXiv e-prints,success
Kinematical and Photometric Deconstruction of the UGC 694-IC 412 System: Evidence for a Line-of-Sight Projection,arXiv e-prints,success
A Generative Reconstruction of Low-$\ell$ CMB B-Mode Signal using Reverse Diffusion in Deep Learning,arXiv e-prints,success
Lithium abundance and stellar rotation in the Galactic halo and thick disc: Contribution from low-mass giant field stars,arXiv e-prints,success
Cloud Properties and Star Formation in M31,Monthly Notices of the Royal Astronomical Society,success
Heavy dark matter in rapidly evolving massive stars,arXiv e-prints,success
Rotation and stability of the circumnuclear gas disk in the Galactic Center potential by the ALMA CMZ Exploration Survey (ACES),arXiv e-prints,success
Hierarchical Test of Lorentz Invariance with Gamma-Ray Burst Spectral-Lag Measurements,arXiv e-prints,success
Primordial black holes within Higgs hybrid metric-Palatini approach,arXiv e-prints,success
"Impacts of the $^{16}$O($^{16}$O, n)$^{31}$S reaction rate on the evolution and nucleosynthesis in Pop III massive stars",arXiv e-prints,success
A new path to constrain the expansion history of the Universe in future spectroscopic galaxy surveys,arXiv e-prints,success
"Pulsed, Polarized X-ray Emission from Neutron Star Surfaces: the Effects of Vacuum Birefringence in the Magnetosphere",arXiv e-prints,success
An Empirical Law to Reproduce the Galaxy Rotation Curves,arXiv e-prints,success
"Dark matter direct detection: status, results and future plans",arXiv e-prints,success
A Linearized Approach to Radial-Velocity Extraction. II: Shot-Noise-Limited Precision via Spectral Factorization,arXiv e-prints,success
Finding Quasars behind the Galactic Plane. IV. Candidate Selection from Chandra with Random Forest,arXiv e-prints,success
Two birds with one stone: simultaneous realization of both Lunar Coordinate Time and lunar geoid time by a single orbital clock,arXiv e-prints,success
Why Machine Learning Models Systematically Underestimate Extreme Values II: How to Fix It with LatentNN,arXiv e-prints,success
The GLASS-JWST Early Release Science Program. V. H$α$ luminosity functions at $z\sim1.3$ and $z\sim2.0$,arXiv e-prints,success
MAMMOTH-LyC: Investigating the Role of Galaxy Mergers in a Strong Lyman Continuum Leaker at $z=2.39$,arXiv e-prints,success
Unveiling Multimessenger Emission from Hidden Cores of Microquasars,arXiv e-prints,success
Interpreting the diversity of afterglow emission from radio-detected tidal disruption events with instantaneous and delayed outflows,arXiv e-prints,success
SN 2022acko: a low-luminosity SNe IIP with signs of early circumstellar interaction,arXiv e-prints,success
New Constraints on Cosmic-ray boosted Sub-GeV Dark Matter via Light Mediators,arXiv e-prints,success
The Dependence of the Extinction Coefficient on Reddening for Galactic Cepheids,arXiv e-prints,success
Kilonova and progenitor properties of merger-driven gamma-ray bursts,arXiv e-prints,success
Predicting the detection yields of giant planets and brown dwarfs with CSST astrometry,arXiv e-prints,success
SiO emission in the filamentary Infrared Dark Cloud G035.39-00.33: An ALMA view,arXiv e-prints,success
Revisiting the Reported Period of FRB 20201124A Using MCMC Methods,arXiv e-prints,success
Possibility of Month-scale Quasi-periodic Oscillations in the Gamma-ray Light Curve of OP 313,arXiv e-prints,success
Three channel dissipative warm Higgs inflation with global inference via genetic algorithms,arXiv e-prints,success
Unveiling SN 2022eyw: A Bright Member of the Type Iax Supernova Subclass,arXiv e-prints,success
On Systematic Errors in Cross-Identification of Binary Stars in Gaia,arXiv e-prints,success
Detections of Compact Radio Continuum toward Methanol Maser Rings Using the VLA,arXiv e-prints,success
Observations of the Fermi bubbles and the Galactic center excess with the DArk Matter Particle Explorer,arXiv e-prints,success
Lossless compression of simulated radio interferometric visibilities,arXiv e-prints,success
Sidelobe Modification for an Offset Gregorian Reflector System using a Reconfigurable Intelligent Surface-Equipped Subreflector,arXiv e-prints,success
Not Just Gas: How Solid-Driven Torques Shaped the Migration of the Galilean Moons,arXiv e-prints,success
Limits on dark matter existence in neutron stars from recent astrophysical observations and mass correlation analysis,arXiv e-prints,success
The 24 Aqr triple system: A closer look at its unique high-eccentricity hierarchical architecture,arXiv e-prints,success
"Precise Physical Parameters, Habitability, and Orbital Stability of Sun-like SB2 Systems: HD 130669, HD 184467, HD 191854, and HD 214222",arXiv e-prints,success
Classification and Characteristics of Double-trigger Gamma-ray Bursts,arXiv e-prints,success
Galaxy Zoo Evo: 1 million human-annotated images of galaxies,arXiv e-prints,success
Machine-Learning Classification of Neutron-Star Matter Composition from Macroscopic and Oscillation Observables,arXiv e-prints,success
Clustering of cosmic string loops within a Milky-way like halo,arXiv e-prints,success
COBIPLANE: A Systematic Search for Compact Binary Millisecond Pulsars at Low Galactic Latitudes,arXiv e-prints,success
A secondary orbiter under collisions with an accretion disk,Proceedings of RAGtime 26-28: Workshops on black holes and neutron stars,success
A clustering-based search for substructures in the Galactic plane and bulge using RR Lyrae stars as tracers,arXiv e-prints,success
The ionization structure and chemical history in isolated H ii regions of dwarf galaxies with VIMOS/IFU II. The Leo A galaxy,arXiv e-prints,success
The Tianlai-WIYN North Celestial Cap Redshift Survey,arXiv e-prints,success
Variation of the 2175 Å extinction feature in Andromeda galaxy,arXiv e-prints,success
Time-Dependent Accretion Disks with Magnetically Driven Winds: Green's Function Solutions,arXiv e-prints,success
Machine-learning approaches to dispersion measure estimation for fast radio bursts,arXiv e-prints,success
Atmospheric Mass Flux as a Function of Ionospheric Emission on Unmagnetized Earth,arXiv e-prints,success
Antarctic TianMu Staring Observation Project I: Overview and Implementation of the Prototype Telescope,arXiv e-prints,success
Antarctic TianMu Staring Observation Project II: Data reduction and preliminary results,arXiv e-prints,success
SSC Radiation in the ICMART Model: Spectral Simulations and Application to the Record-Breaking GRB 221009A,arXiv e-prints,success
photoD with Rubin's Data Preview 1: first stellar photometric distances and deficit of faint blue stars. Stellar distances with Rubin's DP1,arXiv e-prints,success
